0,青ぷに,0:青ぷに,,Blue Puni,0:Blue Puni,,藍噗尼,0:藍噗尼
1,緑ぷに,1:緑ぷに,,Green Puni,1:Green Puni,,綠噗尼,1:綠噗尼
2,赤ぷに,2:赤ぷに,,Red Puni,2:Red Puni,,紅噗尼,2:紅噗尼
3,花ぷに,3:花ぷに,,Flower Puni,3:Flower Puni,,花噗尼,3:花噗尼
4,黒ぷに,4:黒ぷに,,Black Puni,4:Black Puni,,黑噗尼,4:黑噗尼
5,シルバーぷに,5:シルバーぷに,,Silver Puni,5:Silver Puni,,銀噗尼,5:銀噗尼
6,ゴールドぷに,6:ゴールドぷに,,Gold Puni,6:Gold Puni,,金噗尼,6:金噗尼
7,ラベンダーぷに,7:ラベンダーぷに,,Lavender Puni,7:Lavender Puni,,薰衣草噗尼,7:薰衣草噗尼
8,でかぷに,8:でかぷに,,Big Puni,8:Big Puni,,巨大噗尼,8:巨大噗尼
9,シャイニングぷに,9:シャイニングぷに,,Shining Puni,9:Shining Puni,,發光噗尼,9:發光噗尼
10,ラフレシアぷに,10:ラフレシアぷに,,Rafflesia Puni,10:Rafflesia Puni,,大王花噗尼,10:大王花噗尼
11,ダークネスぷに,11:ダークネスぷに,,Darkness Puni,11:Darkness Puni,,暗黑噗尼,11:暗黑噗尼
12,プレシャスぷに,12:プレシャスぷに,,Precious Puni,12:Precious Puni,,珍奇噗尼,12:珍奇噗尼
13,でかぷに,13:でかぷに,,Big Puni,13:Big Puni,,巨大噗尼,13:巨大噗尼
14,オオイタチ,14:オオイタチ,,Giant Weasel,14:Giant Weasel,,大鼬,14:大鼬
15,ブルーフィン,15:ブルーフィン,,Bluefin,15:Bluefin,,藍鰭鼬,15:藍鰭鼬
16,シルキーファー,16:シルキーファー,,Silky Fur,16:Silky Fur,,柔滑皮鼬,16:柔滑皮鼬
17,スカーフバニー,17:スカーフバニー,,Scarf Bunny,17:Scarf Bunny,,圍巾兔,17:圍巾兔
18,ナイトハンター,18:ナイトハンター,,Night Hunter,18:Night Hunter,,暗夜獵人,18:暗夜獵人
19,ルインコラプター,19:ルインコラプター,,Ruined Corrupter,19:Ruined Corrupter,,毀滅的侵蝕者,19:毀滅的侵蝕者
20,ハイドストーカー,20:ハイドストーカー,,Hide Stalker,20:Hide Stalker,,暗地追跡者,20:暗地追跡者
21,ロップイヤー,21:ロップイヤー,,Loppy Ear,21:Loppy Ear,,垂耳兔,21:垂耳兔
22,オオイタチマザー,22:オオイタチマザー,,Mother Weasel,22:Mother Weasel,,大鼬媽媽,22:大鼬媽媽
23,サベージアサシン,23:サベージアサシン,,Savage Assassin,23:Savage Assassin,,野性刺客,23:野性刺客
24,ヘクスラビット,24:ヘクスラビット,,Hex Rabbit,24:Hex Rabbit,,咒術兔,24:咒術兔
25,ラージアントラー,25:ラージアントラー,,Large Antler,25:Large Antler,,巨大鹿角,25:巨大鹿角
26,星の聖獣,26:星の聖獣,,Holy Beast of the Stars,26:Holy Beast of the Stars,,星辰聖獸,26:星辰聖獸
27,花の精,27:花の精,,Flower Pixie,27:Flower Pixie,,花精,27:花精
28,イルミネイトシルフ,28:イルミネイトシルフ,,Illuminated Sylph,28:Illuminated Sylph,,微光靈者,28:微光靈者
29,フラワーガーデナー,29:フラワーガーデナー,,Flower Gardener,29:Flower Gardener,,護花園丁,29:護花園丁
30,ゼファーピクシー,30:ゼファーピクシー,,Zephyr Pixie,30:Zephyr Pixie,,微風仙子,30:微風仙子
31,悠久の守り手,31:悠久の守り手,,Eternal Guardian,31:Eternal Guardian,,悠久守護者,31:悠久守護者
32,光熱の乙女,32:光熱の乙女,,Blazing Maiden,32:Blazing Maiden,,光熱少女,32:光熱少女
33,ホーリースピリット,33:ホーリースピリット,,Hallowed Spirit,33:Hallowed Spirit,,聖光靈體,33:聖光靈體
34,プルームローレライ,34:プルームローレライ,,Plumed Lorelei,34:Plumed Lorelei,,羽毛女妖,34:羽毛女妖
35,エルダーフェアリー,35:エルダーフェアリー,,Elder Fairy,35:Elder Fairy,,妖精長老,35:妖精長老
36,幻を司る者,36:幻を司る者,,Mirage Master,36:Mirage Master,,控幻者,36:控幻者
37,ルナリアエンゼル,37:ルナリアエンゼル,,Lunaria Angel,37:Lunaria Angel,,月光天使,37:月光天使
38,悪夢の精,38:悪夢の精,,Nightmare Spirit,38:Nightmare Spirit,,惡夢之靈,38:惡夢之靈
39,シュヴァルツレイス,39:シュヴァルツレイス,,Schwarzwraith,39:Schwarzwraith,,黑色巨靈,39:黑色巨靈
40,スイートノクターナル,40:スイートノクターナル,,Sweet Nocturnal,40:Sweet Nocturnal,,美好之夜,40:美好之夜
41,ムーンヴェイル,41:ムーンヴェイル,,Moon Veil,41:Moon Veil,,月之面紗,41:月之面紗
42,ストーンゴーレム,42:ストーンゴーレム,,Stone Golem,42:Stone Golem,,硬石魔巨人,42:硬石魔巨人
43,ロックパペット,43:ロックパペット,,Rock Puppet,43:Rock Puppet,,石傀儡,43:石傀儡
44,ジュエルガード,44:ジュエルガード,,Jewel Guard,44:Jewel Guard,,寶石衛兵,44:寶石衛兵
45,魔石の傀儡,45:魔石の傀儡,,Fairystone Puppet,45:Fairystone Puppet,,魔石傀儡,45:魔石傀儡
46,メタルゴーレム,46:メタルゴーレム,,Metal Golem,46:Metal Golem,,金屬魔巨人,46:金屬魔巨人
47,メテオライトドール,47:メテオライトドール,,Meteorite Doll,47:Meteorite Doll,,隕石魔偶,47:隕石魔偶
48,土塊の使役者,48:土塊の使役者,,Earth Master,48:Earth Master,,土塊使役者,48:土塊使役者
49,ラスティオニキス,49:ラスティオニキス,,Rusty Onyx,49:Rusty Onyx,,鏽瑪瑙巨魔,49:鏽瑪瑙巨魔
50,コロッサスゴーレム,50:コロッサスゴーレム,,Colossus Golem,50:Colossus Golem,,巨像魔巨人,50:巨像魔巨人
51,不朽の彫像,51:不朽の彫像,,Eternal Sculpture,51:Eternal Sculpture,,不朽雕像,51:不朽雕像
52,巨石の兵士,52:巨石の兵士,,Boulder Soldier,52:Boulder Soldier,,巨石士兵,52:巨石士兵
53,ダークマタ,53:ダークマタ,,Darkomaton,53:Darkomaton,,暗黑魔巨人,53:暗黑魔巨人
54,ノワールドール,54:ノワールドール,,Noir Doll,54:Noir Doll,,漆黑魔偶,54:漆黑魔偶
55,クラムベリー,55:クラムベリー,,Cramberry,55:Cramberry,,蔓越莓,55:蔓越莓
56,豊穣を祈る者,56:豊穣を祈る者,,Harvest Prayer,56:Harvest Prayer,,祈求豐收者,56:祈求豐收者
57,つのひつじ,57:つのひつじ,,Horned Sheep,57:Horned Sheep,,角綿羊,57:角綿羊
58,アッシュウール,58:アッシュウール,,Ashen Wool,58:Ashen Wool,,灰毛綿羊,58:灰毛綿羊
59,フラッフィーシープ,59:フラッフィーシープ,,Fluffy Sheep,59:Fluffy Sheep,,柔毛綿羊,59:柔毛綿羊
60,ドリームキャッチャー,60:ドリームキャッチャー,,Dreamcatcher,60:Dreamcatcher,,捕夢者,60:捕夢者
61,きょだいひつじ,61:きょだいひつじ,,Giant Sheep,61:Giant Sheep,,巨大綿羊,61:巨大綿羊
62,暗い思い出の獣,62:暗い思い出の獣,,Mindlurker,62:Mindlurker,,灰暗回憶之獸,62:灰暗回憶之獸
63,マッドビースト,63:マッドビースト,,Mad Beast,63:Mad Beast,,狂暴猛獸,63:狂暴猛獸
64,スケイルアルマジロ,64:スケイルアルマジロ,,Scaled Armadillo,64:Scaled Armadillo,,鱗甲犰狳,64:鱗甲犰狳
65,インタクトカラパス,65:インタクトカラパス,,Intact Carapace,65:Intact Carapace,,完美甲殼,65:完美甲殼
66,タイニーデビル,66:タイニーデビル,,Tiny Devil,66:Tiny Devil,,迷你惡魔,66:迷你惡魔
67,ブルーフィーンド,67:ブルーフィーンド,,Blue Fiend,67:Blue Fiend,,藍惡魔,67:藍惡魔
68,ホットイービル,68:ホットイービル,,Hot Evil,68:Hot Evil,,炙熱惡魔,68:炙熱惡魔
69,アッシュデーモン,69:アッシュデーモン,,Ash Demon,69:Ash Demon,,灰惡魔,69:灰惡魔
70,ダイアクマ,70:ダイアクマ,,King Devil,70:King Devil,,大惡魔,70:大惡魔
71,ストームエレメンタル,71:ストームエレメンタル,,Storm Elemental,71:Storm Elemental,,風暴元素,71:風暴元素
72,アイシークリスタル,72:アイシークリスタル,,Icy Crystal,72:Icy Crystal,,寒冰水晶,72:寒冰水晶
73,自然の精霊,73:自然の精霊,,Spirit of Nature,73:Spirit of Nature,,自然精靈,73:自然精靈
74,スクランブルエナジー,74:スクランブルエナジー,,Scrambled Energy,74:Scrambled Energy,,能量爭奪者,74:能量爭奪者
75,ディザスターコア,75:ディザスターコア,,Disaster Core,75:Disaster Core,,災難核心,75:災難核心
76,アースプラント,76:アースプラント,,Earth Plant,76:Earth Plant,,大地草,76:大地草
77,ルートスプレッダー,77:ルートスプレッダー,,Root Spreader,77:Root Spreader,,根莖傳播者,77:根莖傳播者
78,大樹の使い,78:大樹の使い,,Great Tree Messenger,78:Great Tree Messenger,,大樹使者,78:大樹使者
