NAME_LABEL,MESSAGE
STR_WORLDMAP_SYSTEM000,事件發生中！
STR_WORLDMAP_SYSTEM001,<CLEG>%s<CLNR>已恢復正常
STR_WORLDMAP_SYSTEM002,？？？？
STR_WORLDMAP_SYSTEM003,查看詳細內容
STR_WORLDMAP_SYSTEM004,剩餘%d天
STR_WORLDMAP_SYSTEM005,剩餘<CLRE>%d<CLNR>天
STR_WORLDMAP_SYSTEM006,採集
STR_WORLDMAP_SYSTEM007,魔物
STR_WORLDMAP_SYSTEM008,調查<CLGR>%s<CLNR>
STR_WORLDMAP_SYSTEM009,%d/%d
STR_WORLDMAP_SYSTEM010,顯示地區一覽
STR_WORLDMAP_SYSTEM011,重置位置
STR_WORLDMAP_SYSTEM012,切換地區
STR_WORLDMAP_SYSTEM013,選擇地標
STR_WORLDMAP_SYSTEM014,？
STR_WORLDMAP_SYSTEM015,？？？？？
STR_WORLDMAP_SYSTEM016,查看地區
STR_WORLDMAP_MESSAGE000,
STR_WORLDMAP_MESSAGE001,
STR_WORLDMAP_MESSAGE002,
STR_WORLDMAP_MESSAGE003,
STR_WORLDMAP_MESSAGE004,
STR_TUTO_TITLE_000,要關閉視窗嗎？
STR_TUTO_TITLE_001,探索：修理
STR_TUTO_TITLE_002,任務：顯示目標地點
STR_TUTO_TITLE_003,任務：隨機任務
STR_TUTO_TITLE_004,建置：建築據點
STR_TUTO_TITLE_005,戰鬥：使用回復道具
STR_TUTO_TITLE_006,探索：射擊
STR_TUTO_TITLE_007,探索：炸裂彈
STR_TUTO_TITLE_008,探索：祈願神廟
STR_TUTO_TITLE_009,系統：快速移動
STR_TUTO_TITLE_010,
STR_TUTO_TITLE_011,系統：區域地圖
STR_TUTO_TITLE_012,探索：簡易調合與探索袋
STR_TUTO_TITLE_013,調合：普通調合
STR_TUTO_TITLE_014,
STR_TUTO_TITLE_015,
STR_TUTO_TITLE_016,
STR_TUTO_TITLE_017,
STR_TUTO_TITLE_018,
STR_TUTO_TITLE_019,調合：屬性還原
STR_TUTO_TITLE_020,
STR_TUTO_TITLE_021,戰鬥：全滅
STR_TUTO_TITLE_022,戰鬥：裝備道具
STR_TUTO_TITLE_023,任務：登錄追蹤
STR_TUTO_TITLE_024,建置：配置
STR_TUTO_TITLE_025,
STR_TUTO_TITLE_026,建置：製作傢俱
STR_TUTO_TITLE_027,建置：舒適度
STR_TUTO_TITLE_028,探索：能量製造機
STR_TUTO_TITLE_029,探索：蹬牆跳躍
STR_TUTO_TITLE_030,
STR_TUTO_TITLE_031,戰鬥：強攻擊
STR_TUTO_TITLE_032,探索：從高處著地
STR_TUTO_TITLE_033,道具：特性結晶
STR_TUTO_TITLE_040,建置：建築據點
STR_TUTO_TITLE_041,建置：配置
STR_TUTO_TITLE_042,建置：工作台
STR_TUTO_TITLE_043,建置：能量製造機
STR_TUTO_TITLE_044,建置：舒適度
STR_TUTO_TITLE_045,建置：染色
STR_TUTO_TITLE_046,建置：溫室
STR_TUTO_TITLE_047,建置：倉庫
