NAME_LABEL,MESSAGE
STR_WORLDMAP_SYSTEM000,Something strange is happening!
STR_WORLDMAP_SYSTEM001,<CLEG>%s<CLNR> has returned to normal.
STR_WORLDMAP_SYSTEM002,????
STR_WORLDMAP_SYSTEM003,See Details
STR_WORLDMAP_SYSTEM004,%d Day(s) Remaining
STR_WORLDMAP_SYSTEM005,<CLRE>%d<CLNR> Day(s) Remaining
STR_WORLDMAP_SYSTEM006,Gathering
STR_WORLDMAP_SYSTEM007,Monsters
STR_WORLDMAP_SYSTEM008,Investigate <CLGR>%s<CLNR>
STR_WORLDMAP_SYSTEM009,%d/%d
STR_WORLDMAP_SYSTEM010,Display all regions
STR_WORLDMAP_SYSTEM011,Reset position
STR_WORLDMAP_SYSTEM012,Toggle region
STR_WORLDMAP_SYSTEM013,Select a Landmark
STR_WORLDMAP_SYSTEM014,?
STR_WORLDMAP_SYSTEM015,?????
STR_WORLDMAP_SYSTEM016,View Area
STR_WORLDMAP_MESSAGE000,
STR_WORLDMAP_MESSAGE001,
STR_WORLDMAP_MESSAGE002,
STR_WORLDMAP_MESSAGE003,
STR_WORLDMAP_MESSAGE004,
STR_TUTO_TITLE_000,Close the window?
STR_TUTO_TITLE_001,Exploration: Repairing
STR_TUTO_TITLE_002,Quests: Destination Display
STR_TUTO_TITLE_003,Quests: Random Quests
STR_TUTO_TITLE_004,Building: Base Construction
STR_TUTO_TITLE_005,Combat: Using Restoratives
STR_TUTO_TITLE_006,Exploration: Shooting
STR_TUTO_TITLE_007,Exploration: Burst Ammo
STR_TUTO_TITLE_008,Exploration: Shrine of Prayer
STR_TUTO_TITLE_009,System: Fast Travel
STR_TUTO_TITLE_010,
STR_TUTO_TITLE_011,System: Area Maps
STR_TUTO_TITLE_012,Exploration: Simple Synthesis and the Exploration Bag
STR_TUTO_TITLE_013,Synthesis: Normal Synthesis
STR_TUTO_TITLE_014,
STR_TUTO_TITLE_015,
STR_TUTO_TITLE_016,
STR_TUTO_TITLE_017,
STR_TUTO_TITLE_018,
STR_TUTO_TITLE_019,Synthesis: Element Reduction
STR_TUTO_TITLE_020,
STR_TUTO_TITLE_021,Combat: Defeat
STR_TUTO_TITLE_022,Combat: Equipping Items
