NAME_LABEL,MESSAGE
STR_WORLDMAP_SYSTEM000,事件発生中！
STR_WORLDMAP_SYSTEM001,<CLEG>%s<CLNR>が正常化されました
STR_WORLDMAP_SYSTEM002,？？？？
STR_WORLDMAP_SYSTEM003,詳細確認
STR_WORLDMAP_SYSTEM004,残り%d日
STR_WORLDMAP_SYSTEM005,残り<CLRE>%d<CLNR>日
STR_WORLDMAP_SYSTEM006,採取
STR_WORLDMAP_SYSTEM007,魔物
STR_WORLDMAP_SYSTEM008,<CLGR>%s<CLNR>を調査する
STR_WORLDMAP_SYSTEM009,%d/%d
STR_WORLDMAP_SYSTEM010,地方一覧表示
STR_WORLDMAP_SYSTEM011,位置リセット
STR_WORLDMAP_SYSTEM012,地方切り替え
STR_WORLDMAP_SYSTEM013,ランドマーク選択
STR_WORLDMAP_SYSTEM014,？
STR_WORLDMAP_SYSTEM015,？？？？？
STR_WORLDMAP_SYSTEM016,エリアを見る
STR_WORLDMAP_MESSAGE000,
STR_WORLDMAP_MESSAGE001,
STR_WORLDMAP_MESSAGE002,
STR_WORLDMAP_MESSAGE003,
STR_WORLDMAP_MESSAGE004,
STR_TUTO_TITLE_000,ウィンドウを閉じますか
STR_TUTO_TITLE_001,探索：修理
STR_TUTO_TITLE_002,クエスト：目標地点の表示
STR_TUTO_TITLE_003,クエスト：ランダムクエスト
STR_TUTO_TITLE_004,ハウジング：拠点の建築
STR_TUTO_TITLE_005,戦闘：回復アイテムの使用
STR_TUTO_TITLE_006,探索：射撃
STR_TUTO_TITLE_007,探索：炸裂弾
STR_TUTO_TITLE_008,探索：祈念の社
STR_TUTO_TITLE_009,システム：ファストトラベル
STR_TUTO_TITLE_010,
STR_TUTO_TITLE_011,システム：エリアマップ
STR_TUTO_TITLE_012,探索：略式調合と探索ポーチ
STR_TUTO_TITLE_013,調合：通常調合
STR_TUTO_TITLE_014,
STR_TUTO_TITLE_015,
STR_TUTO_TITLE_016,
STR_TUTO_TITLE_017,
STR_TUTO_TITLE_018,
STR_TUTO_TITLE_019,調合：属性還元
STR_TUTO_TITLE_020,
STR_TUTO_TITLE_021,戦闘：全滅
STR_TUTO_TITLE_022,戦闘：アイテム装備
STR_TUTO_TITLE_023,クエスト：追跡登録
STR_TUTO_TITLE_024,ハウジング：配置
STR_TUTO_TITLE_025,×
STR_TUTO_TITLE_026,ハウジング：家具作成
STR_TUTO_TITLE_027,ハウジング：快適度
STR_TUTO_TITLE_028,探索：エナジー生成器
STR_TUTO_TITLE_029,探索：壁ジャンプ
STR_TUTO_TITLE_030,
STR_TUTO_TITLE_031,戦闘：強攻撃
STR_TUTO_TITLE_032,探索：高所からの着地
STR_TUTO_TITLE_033,アイテム：特性結晶
STR_TUTO_TITLE_040,ハウジング：拠点の建築
STR_TUTO_TITLE_041,ハウジング：配置
STR_TUTO_TITLE_042,ハウジング：作業台
STR_TUTO_TITLE_043,ハウジング：エナジー生成器
STR_TUTO_TITLE_044,ハウジング：快適度
STR_TUTO_TITLE_045,ハウジング：染色
STR_TUTO_TITLE_046,ハウジング：温室
STR_TUTO_TITLE_047,ハウジング：倉庫
STR_TUTO_TITLE_048,ハウジング：複製機
STR_TUTO_TITLE_049,ハウジング：マナ変換機
STR_TUTO_TITLE_050,ハウジング：襲撃
STR_TUTO_TITLE_052,探索：切弾
STR_TUTO_TITLE_053,探索：しゃがみ
STR_TUTO_TITLE_054,探索：時間・天候変化
STR_TUTO_TITLE_055,探索：ランドマーク
STR_TUTO_TITLE_057,探索：魔物の群れ
STR_TUTO_TITLE_058,探索：遺構
STR_TUTO_TITLE_059,ミニゲーム：釣り
STR_TUTO_TITLE_060,ミニゲーム：回路修理
STR_TUTO_TITLE_061,ミニゲーム：マナチューニング
STR_TUTO_TITLE_062,ミニゲーム：鍵開け
STR_TUTO_TITLE_064,探索：高濃度マナ領域とエナジー
STR_TUTO_TITLE_065,探索：スキャン
STR_TUTO_TITLE_066,探索：広域スキャン
STR_TUTO_TITLE_067,探索：マナ間欠泉
STR_TUTO_TITLE_068,探索：アルスタリアの花
STR_TUTO_TITLE_069,探索：キャンプ
STR_TUTO_TITLE_070,探索：アトリエ機能
STR_TUTO_TITLE_071,探索：プロセラ
STR_TUTO_TITLE_072,探索：ステージ採取
STR_TUTO_TITLE_073,探索：レリックサーチャー
STR_TUTO_TITLE_074,探索：障害物の移動
STR_TUTO_TITLE_075,その他：フォトモード・カメラ操作
STR_TUTO_TITLE_076,その他：フォトモード・キャラ操作
STR_TUTO_TITLE_077,戦闘：エンカウント
STR_TUTO_TITLE_078,戦闘：ガード・回避
STR_TUTO_TITLE_079,戦闘：範囲攻撃
STR_TUTO_TITLE_080,戦闘：レンジシフト
STR_TUTO_TITLE_081,戦闘：ブレイクシンボル
STR_TUTO_TITLE_082,戦闘：スロットチェンジ
STR_TUTO_TITLE_083,戦闘：環境マナ
STR_TUTO_TITLE_084,戦闘：アドベント
STR_TUTO_TITLE_085,戦闘：マナチャージ
STR_TUTO_TITLE_086,戦闘：クイックチャージ
STR_TUTO_TITLE_087,戦闘：マキシマイズアドベント
STR_TUTO_TITLE_088,戦闘：スイッチ
STR_TUTO_TITLE_089,戦闘：作戦変更
STR_TUTO_TITLE_090,戦闘：逃走
STR_TUTO_TITLE_091,戦闘：衝撃
STR_TUTO_TITLE_092,ハウジング：装備強化
STR_TUTO_TITLE_093,略式調合：アイテム作成
STR_TUTO_TITLE_094,略式調合：探索ポーチ
STR_TUTO_TITLE_095,レシピ想起：レシピ習得
STR_TUTO_TITLE_096,調合：アイテムリビルド
